candidate_id,rank,name,score,match_percentage,experience,reason_codes,reasoning
CAND_0000091,17,Arjun Verma,0.143455,14.35,2.5 years,"Profile-to-JD relevance: 12.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more","12.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000082,18,Tanya Goyal,0.140145,14.01,5.8 years,Profile-to-JD relevance: 1.5%; JD-matched skills: Docker,1.5% profile-to-job-description relevance; matched skills: Docker
CAND_0000077,19,Ira Khan,0.137888,13.79,7.7 years,Profile-to-JD relevance: 1.5%; JD-matched skills: Docker,1.5% profile-to-job-description relevance; matched skills: Docker
CAND_0000047,20,Nikhil Shah,0.137325,13.73,9.2 years,Profile-to-JD relevance: 2.2%; JD-matched skills: Docker,2.2% profile-to-job-description relevance; matched skills: Docker
CAND_0000035,21,Manav Nair,0.133917,13.39,2.6 years,Profile-to-JD relevance: 1.9%,1.9% profile-to-job-description relevance
CAND_0000092,22,Kabir Singh,0.128526,12.85,4.6 years,Profile-to-JD relevance: 1.4%,1.4% profile-to-job-description relevance
CAND_0000032,23,Tanya Goyal,0.12749,12.75,3.9 years,Profile-to-JD relevance: 2.0%,2.0% profile-to-job-description relevance
CAND_0000072,24,Nikhil Shah,0.124644,12.46,3.7 years,Profile-to-JD relevance: 2.0%,2.0% profile-to-job-description relevance
CAND_0000062,25,Sanya Chopra,0.123287,12.33,4.2 years,Profile-to-JD relevance: 2.0%,2.0% profile-to-job-description relevance
CAND_0000050,26,Ananya Gupta,0.122808,12.28,1.7 years,Profile-to-JD relevance: 1.9%,1.9% profile-to-job-description relevance
CAND_0000027,27,Ira Khan,0.120362,12.04,1.8 years,Profile-to-JD relevance: 2.0%,2.0% profile-to-job-description relevance
CAND_0000057,28,Tanya Goyal,0.119838,11.98,4.7 years,Profile-to-JD relevance: 2.1%; JD-matched skills: Docker,2.1% profile-to-job-description relevance; matched skills: Docker
CAND_0000052,29,Ira Khan,0.11878,11.88,2.8 years,Profile-to-JD relevance: 2.0%,2.0% profile-to-job-description relevance
CAND_0000095,30,Karan Iyer,0.113789,11.38,1.3 years,Profile-to-JD relevance: 1.4%,1.4% profile-to-job-description relevance
CAND_0000020,31,Karan Iyer,0.110956,11.1,1.4 years,Profile-to-JD relevance: 1.9%,1.9% profile-to-job-description relevance
CAND_0000087,32,Sanya Chopra,0.101975,10.2,2.9 years,Profile-to-JD relevance: 1.4%,1.4% profile-to-job-description relevance
CAND_0000039,33,Vivaan Agarwal,0.101001,10.1,6.3 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Docker,0.9% profile-to-job-description relevance; matched skills: Docker
CAND_0000059,34,Neha Mehta,0.099367,9.94,5.5 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Docker,0.9% profile-to-job-description relevance; matched skills: Docker
CAND_0000009,35,Neha Mehta,0.099209,9.92,8.4 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS","1.3% profile-to-job-description relevance; matched skills: Docker, AWS"
CAND_0000049,36,Dev Sharma,0.092514,9.25,9.4 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS","1.3% profile-to-job-description relevance; matched skills: Docker, AWS"
CAND_0000073,37,Samar Jain,0.089606,8.96,6.1 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000038,38,Aarav Mishra,0.089472,8.95,6.4 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000093,39,Rohan Rao,0.087357,8.74,6.8 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Git,0.9% profile-to-job-description relevance; matched skills: Git
CAND_0000094,40,Ishaan Malhotra,0.086226,8.62,4.8 years,Profile-to-JD relevance: 0.7%; JD-matched skills: Docker,0.7% profile-to-job-description relevance; matched skills: Docker
CAND_0000033,41,Yash Patel,0.085546,8.55,8.6 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000089,42,Vivaan Agarwal,0.085359,8.54,9.1 years,Profile-to-JD relevance: 0.7%; JD-matched skills: Docker,0.7% profile-to-job-description relevance; matched skills: Docker
CAND_0000053,43,Meera Kapoor,0.083832,8.38,4.7 years,Profile-to-JD relevance: 1.3%; JD-matched skills: Git,1.3% profile-to-job-description relevance; matched skills: Git
CAND_0000013,44,Aarav Mishra,0.081365,8.14,4.9 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000048,45,Samar Jain,0.077092,7.71,4.8 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000054,46,Riya Das,0.074296,7.43,3.6 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Docker,0.9% profile-to-job-description relevance; matched skills: Docker
CAND_0000069,47,Ishaan Malhotra,0.072408,7.24,3.7 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Docker,0.9% profile-to-job-description relevance; matched skills: Docker
CAND_0000044,48,Ishaan Malhotra,0.069778,6.98,2.7 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Docker,0.9% profile-to-job-description relevance; matched skills: Docker
CAND_0000098,49,Samar Jain,0.065546,6.55,4.4 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Git,0.9% profile-to-job-description relevance; matched skills: Git
CAND_0000063,50,Aarav Mishra,0.064784,6.48,9.8 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000068,51,Rohan Rao,0.06468,6.47,4.0 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000043,52,Rohan Rao,0.061049,6.1,3.6 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000064,53,Vivaan Agarwal,0.057556,5.76,1.7 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Docker,0.9% profile-to-job-description relevance; matched skills: Docker
CAND_0000018,54,Rohan Rao,0.049871,4.99,1.4 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000028,55,Meera Kapoor,0.044486,4.45,2.0 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git,1.2% profile-to-job-description relevance; matched skills: Git
CAND_0000016,56,Arjun Verma,0.00626,0.63,1.5 years,"Profile-to-JD relevance: 15.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","15.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000031,57,Aisha Tiwari,0.006144,0.61,3.6 years,"Profile-to-JD relevance: 15.0%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","15.0% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000071,58,Rahul Saxena,0.005967,0.6,8.6 years,"Profile-to-JD relevance: 14.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","14.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000001,59,Diya Joshi,0.005943,0.59,8.2 years,"Profile-to-JD relevance: 14.3%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","14.3% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000086,60,Pranav Bansal,0.005165,0.52,5.1 years,"Profile-to-JD relevance: 12.5%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","12.5% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000076,61,Diya Joshi,0.005112,0.51,4.9 years,"Profile-to-JD relevance: 12.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","12.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000096,62,Rahul Saxena,0.005109,0.51,3.8 years,"Profile-to-JD relevance: 12.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","12.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000081,63,Aisha Tiwari,0.005048,0.5,1.8 years,"Profile-to-JD relevance: 12.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more; Honeypot signal detected","12.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD; ranking reduced by profile integrity or eligibility signals"
CAND_0000007,64,Tanya Goyal,0.001161,0.12,6.5 years,Profile-to-JD relevance: 2.0%; Honeypot signal detected,2.0% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000040,65,Aditya Sethi,0.001158,0.12,6.9 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000010,66,Manav Nair,0.001149,0.11,7.0 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000022,67,Nikhil Shah,0.001143,0.11,4.4 years,Profile-to-JD relevance: 2.1%; JD-matched skills: Docker; Honeypot signal detected,2.1% profile-to-job-description relevance; matched skills: Docker; ranking reduced by profile integrity or eligibility signals
CAND_0000030,68,Kavya Kulkarni,0.001135,0.11,8.0 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000060,69,Manav Nair,0.001121,0.11,7.7 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000005,70,Kavya Kulkarni,0.001119,0.11,6.0 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000075,71,Ananya Gupta,0.001111,0.11,9.2 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000065,72,Aditya Sethi,0.00111,0.11,6.9 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000017,73,Kabir Singh,0.001109,0.11,5.4 years,Profile-to-JD relevance: 2.0%; Honeypot signal detected,2.0% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000045,74,Karan Iyer,0.001105,0.11,8.4 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000015,75,Aditya Sethi,0.001101,0.11,8.8 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000067,76,Kabir Singh,0.001087,0.11,8.7 years,Profile-to-JD relevance: 2.0%; Honeypot signal detected,2.0% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000037,77,Sanya Chopra,0.001077,0.11,4.3 years,Profile-to-JD relevance: 2.0%; Honeypot signal detected,2.0% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000002,78,Ira Khan,0.001068,0.11,3.6 years,Profile-to-JD relevance: 2.1%; JD-matched skills: Docker; Honeypot signal detected,2.1% profile-to-job-description relevance; matched skills: Docker; ranking reduced by profile integrity or eligibility signals
CAND_0000025,79,Ananya Gupta,0.001034,0.1,2.6 years,Profile-to-JD relevance: 1.9%; Honeypot signal detected,1.9% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000012,80,Sanya Chopra,0.001015,0.1,2.2 years,Profile-to-JD relevance: 2.0%; Honeypot signal detected,2.0% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000042,81,Kabir Singh,0.000989,0.1,2.6 years,Profile-to-JD relevance: 2.0%; Honeypot signal detected,2.0% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000085,82,Manav Nair,0.000864,0.09,3.8 years,Profile-to-JD relevance: 1.4%; Honeypot signal detected,1.4% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000090,83,Aditya Sethi,0.000856,0.09,3.9 years,Profile-to-JD relevance: 1.4%; Honeypot signal detected,1.4% profile-to-job-description relevance; ranking reduced by profile integrity or eligibility signals
CAND_0000074,84,Dev Sharma,0.000766,0.08,6.3 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.3% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000004,85,Riya Das,0.000743,0.07,5.0 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.3% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000019,86,Ishaan Malhotra,0.000731,0.07,4.5 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.3% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000014,87,Vivaan Agarwal,0.000728,0.07,9.3 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.3% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000023,88,Samar Jain,0.000686,0.07,7.8 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git; Honeypot signal detected,1.2% profile-to-job-description relevance; matched skills: Git; ranking reduced by profile integrity or eligibility signals
CAND_0000034,89,Neha Mehta,0.000681,0.07,2.9 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.3% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000058,90,Yash Patel,0.00068,0.07,6.2 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git; Honeypot signal detected,1.2% profile-to-job-description relevance; matched skills: Git; ranking reduced by profile integrity or eligibility signals
CAND_0000029,91,Riya Das,0.000673,0.07,2.0 years,"Profile-to-JD relevance: 1.3%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.3% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000003,92,Meera Kapoor,0.000638,0.06,9.4 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git; Honeypot signal detected,1.2% profile-to-job-description relevance; matched skills: Git; ranking reduced by profile integrity or eligibility signals
CAND_0000024,93,Dev Sharma,0.000606,0.06,8.2 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Docker; Honeypot signal detected,0.9% profile-to-job-description relevance; matched skills: Docker; ranking reduced by profile integrity or eligibility signals
CAND_0000084,94,Neha Mehta,0.000584,0.06,3.6 years,"Profile-to-JD relevance: 1.0%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.0% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000008,95,Yash Patel,0.000578,0.06,2.6 years,Profile-to-JD relevance: 1.2%; JD-matched skills: Git; Honeypot signal detected,1.2% profile-to-job-description relevance; matched skills: Git; ranking reduced by profile integrity or eligibility signals
CAND_0000083,96,Yash Patel,0.000574,0.06,8.1 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Git; Honeypot signal detected,0.9% profile-to-job-description relevance; matched skills: Git; ranking reduced by profile integrity or eligibility signals
CAND_0000088,97,Aarav Mishra,0.000573,0.06,6.0 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Git; Honeypot signal detected,0.9% profile-to-job-description relevance; matched skills: Git; ranking reduced by profile integrity or eligibility signals
CAND_0000078,98,Meera Kapoor,0.00055,0.06,8.3 years,Profile-to-JD relevance: 0.9%; JD-matched skills: Git; Honeypot signal detected,0.9% profile-to-job-description relevance; matched skills: Git; ranking reduced by profile integrity or eligibility signals
CAND_0000079,99,Riya Das,0.000543,0.05,2.3 years,"Profile-to-JD relevance: 1.0%; JD-matched skills: Docker, AWS; Honeypot signal detected","1.0% profile-to-job-description relevance; matched skills: Docker, AWS; ranking reduced by profile integrity or eligibility signals"
CAND_0000099,100,Dev Sharma,0.000484,0.05,5.4 years,Profile-to-JD relevance: 0.7%; JD-matched skills: Docker; Honeypot signal detected,0.7% profile-to-job-description relevance; matched skills: Docker; ranking reduced by profile integrity or eligibility signals
